filename	ns	tau	cov	pr	rc	f
ipr_submission.tsv	cellular_component	0.76000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.77000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.78000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.79000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.80000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.81000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.82000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.83000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.84000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.85000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.86000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.87000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.88000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.89000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.90000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.91000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.92000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.93000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.94000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.95000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.96000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.97000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.98000	0.45500	0.92121	0.14891	0.25637
ipr_submission.tsv	cellular_component	0.99000	0.45500	0.92121	0.14891	0.25637
naive_submission.tsv	biological_process	0.01000	1.00000	0.07583	0.83611	0.13905
naive_submission.tsv	biological_process	0.02000	1.00000	0.10619	0.74793	0.18597
naive_submission.tsv	biological_process	0.03000	1.00000	0.13348	0.69009	0.22369
naive_submission.tsv	biological_process	0.04000	1.00000	0.15899	0.63462	0.25427
naive_submission.tsv	biological_process	0.05000	1.00000	0.18580	0.58700	0.28226
naive_submission.tsv	biological_process	0.06000	1.00000	0.20979	0.54551	0.30304
naive_submission.tsv	biological_process	0.07000	1.00000	0.22003	0.52765	0.31056
naive_submission.tsv	biological_process	0.08000	1.00000	0.23734	0.49643	0.32114
naive_submission.tsv	biological_process	0.09000	1.00000	0.25960	0.45787	0.33134
naive_submission.tsv	biological_process	0.10000	1.00000	0.27865	0.43009	0.33819
naive_submission.tsv	biological_process	0.11000	1.00000	0.29041	0.40858	0.33951
naive_submission.tsv	biological_process	0.12000	1.00000	0.30445	0.39510	0.34390
naive_submission.tsv	biological_process	0.13000	1.00000	0.32230	0.36877	0.34397
naive_submission.tsv	biological_process	0.14000	1.00000	0.33265	0.35232	0.34220
naive_submission.tsv	biological_process	0.15000	1.00000	0.33265	0.35232	0.34220
naive_submission.tsv	biological_process	0.16000	1.00000	0.35333	0.31321	0.33206
naive_submission.tsv	biological_process	0.17000	1.00000	0.38527	0.28020	0.32444
naive_submission.tsv	biological_process	0.18000	1.00000	0.39717	0.26941	0.32105
naive_submission.tsv	biological_process	0.19000	1.00000	0.40157	0.26453	0.31895
naive_submission.tsv	biological_process	0.20000	1.00000	0.42479	0.23976	0.30652
naive_submission.tsv	biological_process	0.21000	1.00000	0.45400	0.22242	0.29857
naive_submission.tsv	biological_process	0.22000	1.00000	0.47321	0.20742	0.28842
naive_submission.tsv	biological_process	0.23000	1.00000	0.47321	0.20742	0.28842
naive_submission.tsv	biological_process	0.24000	1.00000	0.48377	0.19795	0.28094
naive_submission.tsv	biological_process	0.25000	1.00000	0.48377	0.19795	0.28094
naive_submission.tsv	biological_process	0.26000	1.00000	0.48377	0.19795	0.28094
naive_submission.tsv	biological_process	0.27000	1.00000	0.50300	0.19266	0.27861
naive_submission.tsv	biological_process	0.28000	1.00000	0.53970	0.17541	0.26477
naive_submission.tsv	biological_process	0.29000	1.00000	0.59300	0.15773	0.24918
naive_submission.tsv	biological_process	0.30000	1.00000	0.59300	0.15773	0.24918
naive_submission.tsv	biological_process	0.31000	1.00000	0.59300	0.15773	0.24918
naive_submission.tsv	biological_process	0.32000	1.00000	0.59300	0.15773	0.24918
naive_submission.tsv	biological_process	0.33000	1.00000	0.61871	0.14487	0.23477
naive_submission.tsv	biological_process	0.34000	1.00000	0.61871	0.14487	0.23477
naive_submission.tsv	biological_process	0.35000	1.00000	0.69680	0.11749	0.20108
naive_submission.tsv	biological_process	0.36000	1.00000	0.69680	0.11749	0.20108
naive_submission.tsv	biological_process	0.37000	1.00000	0.69680	0.11749	0.20108
naive_submission.tsv	biological_process	0.38000	1.00000	0.69680	0.11749	0.20108
